Time t / s;Voltage U_A1 / V;Voltage U_B1 / V;Collector current I_A / nA;Acceleration voltage U_B / V
0;1,245;0,025;1,245;0,25
0,1;0,33;0,055;0,33;0,55
0,199;0,33;0,08;0,33;0,8
0,301;0,345;0,11;0,345;1,1
0,401;0,345;0,14;0,345;1,4
0,501;0,345;0,165;0,345;1,65
0,6;0,345;0,195;0,345;1,95
0,7;0,345;0,225;0,345;2,25
0,801;0,345;0,255;0,345;2,55
0,9;0,345;0,28;0,345;2,8
1,001;0,345;0,31;0,345;3,1
1,1;0,345;0,335;0,345;3,35
1,2;0,345;0,365;0,345;3,65
1,299;0,36;0,395;0,36;3,95
1,4;0,36;0,425;0,36;4,25
1,5;0,36;0,455;0,36;4,55
1,599;0,36;0,48;0,36;4,8
1,699;0,36;0,51;0,36;5,1
1,801;0,36;0,54;0,36;5,4
1,9;0,375;0,565;0,375;5,65
2,001;0,375;0,595;0,375;5,95
2,099;0,375;0,625;0,375;6,25
2,2;0,375;0,65;0,375;6,5
2,301;0,39;0,68;0,39;6,8
2,399;0,39;0,71;0,39;7,1
2,5;0,39;0,735;0,39;7,35
2,6;0,405;0,765;0,405;7,65
2,7;0,405;0,795;0,405;7,95
2,8;0,405;0,82;0,405;8,2
2,9;0,42;0,85;0,42;8,5
3;0,42;0,88;0,42;8,8
3,1;0,42;0,905;0,42;9,05
3,199;0,435;0,935;0,435;9,35
3,3;0,435;0,96;0,435;9,6
3,401;0,45;0,99;0,45;9,9
3,499;0,45;1,02;0,45;10,2
3,6;0,465;1,045;0,465;10,45
3,7;0,465;1,075;0,465;10,75
3,8;0,48;1,105;0,48;11,05
3,9;0,48;1,13;0,48;11,3
4;0,495;1,16;0,495;11,6
4,1;0,51;1,19;0,51;11,9
4,2;0,51;1,215;0,51;12,15
4,3;0,525;1,245;0,525;12,45
4,4;0,525;1,275;0,525;12,75
4,5;0,54;1,3;0,54;13
4,601;0,555;1,33;0,555;13,3
4,7;0,57;1,36;0,57;13,6
4,801;0,57;1,385;0,57;13,85
4,9;0,585;1,415;0,585;14,15
5;0,6;1,44;0,6;14,4
5,1;0,615;1,47;0,615;14,7
5,2;0,63;1,5;0,63;15
5,3;0,645;1,525;0,645;15,25
5,399;0,66;1,555;0,66;15,55
5,5;0,66;1,585;0,66;15,85
5,6;0,675;1,61;0,675;16,1
5,7;0,69;1,64;0,69;16,4
5,8;0,705;1,665;0,705;16,65
5,9;0,72;1,695;0,72;16,95
5,999;0,735;1,725;0,735;17,25
6,099;0,75;1,75;0,75;17,5
6,199;0,765;1,775;0,765;17,75
6,3;0,75;1,805;0,75;18,05
6,399;0,72;1,835;0,72;18,35
6,5;0,69;1,865;0,69;18,65
6,6;0,675;1,89;0,675;18,9
6,699;0,645;1,92;0,645;19,2
6,801;0,63;1,945;0,63;19,45
6,9;0,6;1,975;0,6;19,75
7;0,585;2;0,585;20
7,099;0,57;2,03;0,57;20,3
7,199;0,555;2,06;0,555;20,6
7,299;0,555;2,085;0,555;20,85
7,4;0,555;2,115;0,555;21,15
7,5;0,555;2,14;0,555;21,4
7,6;0,555;2,17;0,555;21,7
7,7;0,57;2,2;0,57;22
7,799;0,57;2,225;0,57;22,25
7,9;0,585;2,255;0,585;22,55
8;0,6;2,28;0,6;22,8
8,1;0,615;2,31;0,615;23,1
8,2;0,675;2,335;0,675;23,35
8,3;0,75;2,365;0,75;23,65
8,4;0,84;2,395;0,84;23,95
8,5;0,915;2,42;0,915;24,2
8,6;0,975;2,45;0,975;24,5
8,701;1,05;2,475;1,05;24,75
8,8;1,125;2,505;1,125;25,05
8,9;1,23;2,53;1,23;25,3
9;1,35;2,56;1,35;25,6
9,1;1,485;2,585;1,485;25,85
9,2;1,59;2,615;1,59;26,15
9,3;1,695;2,64;1,695;26,4
9,4;1,8;2,67;1,8;26,7
9,5;1,905;2,695;1,905;26,95
9,601;2,01;2,725;2,01;27,25
9,7;2,1;2,75;2,1;27,5
9,8;2,205;2,78;2,205;27,8
9,9;2,295;2,81;2,295;28,1
9,999;2,37;2,835;2,37;28,35
10,1;2,445;2,865;2,445;28,65
10,199;2,52;2,89;2,52;28,9
10,299;2,58;2,92;2,58;29,2
10,4;2,655;2,945;2,655;29,45
10,501;2,7;2,975;2,7;29,75
10,6;2,76;3;2,76;30
10,7;2,805;3,03;2,805;30,3
10,8;2,85;3,055;2,85;30,55
10,901;2,895;3,085;2,895;30,85
11;2,925;3,115;2,925;31,15
11,1;2,94;3,14;2,94;31,4
11,2;2,97;3,17;2,97;31,7
11,3;2,985;3,195;2,985;31,95
11,4;3,015;3,225;3,015;32,25
11,5;3,03;3,25;3,03;32,5
11,6;3,03;3,28;3,03;32,8
11,7;3,03;3,305;3,03;33,05
11,8;3,045;3,335;3,045;33,35
11,9;3,06;3,36;3,06;33,6
12;3,075;3,39;3,075;33,9
12,1;3,09;3,415;3,09;34,15
12,2;3,075;3,445;3,075;34,45
12,3;3,045;3,47;3,045;34,7
12,4;2,94;3,5;2,94;35
12,501;2,76;3,525;2,76;35,25
12,6;2,565;3,555;2,565;35,55
12,701;2,4;3,58;2,4;35,8
12,8;2,25;3,61;2,25;36,1
12,9;2,1;3,635;2,1;36,35
13;1,935;3,665;1,935;36,65
13,1;1,77;3,69;1,77;36,9
13,201;1,575;3,72;1,575;37,2
13,3;1,41;3,745;1,41;37,45
13,4;1,275;3,775;1,275;37,75
13,5;1,155;3,8;1,155;38
13,6;1,035;3,83;1,035;38,3
13,699;0,93;3,855;0,93;38,55
13,801;0,84;3,885;0,84;38,85
13,9;0,765;3,91;0,765;39,1
14;0,72;3,94;0,72;39,4
14,1;0,69;3,965;0,69;39,65
14,2;0,66;3,995;0,66;39,95
14,3;0,69;4,02;0,69;40,2
14,4;0,75;4,05;0,75;40,5
14,5;0,81;4,075;0,81;40,75
14,6;0,855;4,105;0,855;41,05
14,7;0,9;4,13;0,9;41,3
14,801;0,93;4,16;0,93;41,6
14,9;0,99;4,185;0,99;41,85
15;1,095;4,21;1,095;42,1
15,099;1,245;4,24;1,245;42,4
15,199;1,395;4,265;1,395;42,65
15,3;1,515;4,295;1,515;42,95
15,4;1,635;4,32;1,635;43,2
15,499;1,77;4,35;1,77;43,5
15,6;1,92;4,375;1,92;43,75
15,7;2,07;4,405;2,07;44,05
15,801;2,235;4,43;2,235;44,3
15,9;2,4;4,46;2,4;44,6
15,999;2,565;4,485;2,565;44,85
16,1;2,715;4,51;2,715;45,1
16,2;2,88;4,54;2,88;45,4
16,3;3,045;4,565;3,045;45,65
16,399;3,21;4,595;3,21;45,95
16,5;3,375;4,62;3,375;46,2
16,6;3,54;4,65;3,54;46,5
16,7;3,705;4,675;3,705;46,75
16,799;3,87;4,705;3,87;47,05
16,9;4,02;4,73;4,02;47,3
16,999;4,185;4,76;4,185;47,6
17,099;4,335;4,785;4,335;47,85
17,199;4,485;4,81;4,485;48,1
17,299;4,635;4,84;4,635;48,4
17,4;4,785;4,865;4,785;48,65
17,499;4,92;4,895;4,92;48,95
17,6;5,07;4,92;5,07;49,2
17,7;5,205;4,95;5,205;49,5
17,8;5,325;4,975;5,325;49,75
17,9;5,46;5;5,46;50
18;5,595;5,03;5,595;50,3
18,099;5,73;5,055;5,73;50,55
18,199;5,85;5,085;5,85;50,85
18,3;5,97;5,11;5,97;51,1
18,401;6,075;5,135;6,075;51,35
18,5;6,18;5,165;6,18;51,65
18,6;6,24;5,19;6,24;51,9
18,699;6,27;5,22;6,27;52,2
18,8;6,24;5,245;6,24;52,45
18,9;6,195;5,27;6,195;52,7
19;6,165;5,3;6,165;53
19,1;6,15;5,325;6,15;53,25
19,2;6,135;5,355;6,135;53,55
19,301;6,09;5,38;6,09;53,8
19,401;6,015;5,41;6,015;54,1
19,5;5,925;5,435;5,925;54,35
19,6;5,82;5,46;5,82;54,6
19,701;5,73;5,49;5,73;54,9
19,8;5,655;5,515;5,655;55,15
19,9;5,58;5,54;5,58;55,4
20;5,505;5,57;5,505;55,7
20,1;5,4;5,595;5,4;55,95
20,199;5,31;5,62;5,31;56,2
20,3;5,235;5,65;5,235;56,5
20,4;5,175;5,675;5,175;56,75
20,501;5,175;5,705;5,175;57,05
20,6;5,19;5,73;5,19;57,3
20,701;5,175;5,76;5,175;57,6
20,8;5,145;5,785;5,145;57,85
20,9;5,1;5,81;5,1;58,1
20,999;5,055;5,84;5,055;58,4
21,1;5,055;5,865;5,055;58,65
21,2;5,1;5,895;5,1;58,95
21,299;5,16;5,92;5,16;59,2
21,399;5,22;5,945;5,22;59,45
21,5;5,25;5,975;5,25;59,75
21,6;5,295;6;5,295;60
21,7;5,34;6,03;5,34;60,3
21,8;5,415;6,055;5,415;60,55
21,9;5,52;6,08;5,52;60,8
22,001;5,625;6,11;5,625;61,1
22,1;5,745;6,135;5,745;61,35
22,199;5,865;6,16;5,865;61,6
22,299;5,985;6,19;5,985;61,9
22,4;6,12;6,215;6,12;62,15
22,5;6,27;6,24;6,27;62,4
22,6;6,435;6,27;6,435;62,7
22,7;6,6;6,295;6,6;62,95
22,8;6,78;6,32;6,78;63,2
22,901;6,975;6,35;6,975;63,5
23;7,17;6,375;7,17;63,75
23,099;7,38;6,4;7,38;64
23,2;7,59;6,43;7,59;64,3
23,3;7,815;6,455;7,815;64,55
23,4;8,055;6,485;8,055;64,85
23,5;8,295;6,51;8,295;65,1
23,599;8,55;6,535;8,55;65,35
23,699;8,805;6,56;8,805;65,6
23,8;9,075;6,59;9,075;65,9
23,9;9,36;6,615;9,36;66,15
24;9,63;6,645;9,63;66,45
24,1;9,93;6,67;9,93;66,7
24,199;10,23;6,695;10,23;66,95
24,3;10,545;6,725;10,545;67,25
24,401;10,875;6,75;10,875;67,5
24,5;11,205;6,775;11,205;67,75
24,6;11,535;6,805;11,535;68,05
24,7;11,865;6,83;11,865;68,3
24,799;12,12;6,855;12,12;68,55
24,901;12,465;6,885;12,465;68,85
25;12,705;6,91;12,705;69,1
25,099;12,81;6,935;12,81;69,35
25,2;12,855;6,965;12,855;69,65
25,3;12,855;6,99;12,855;69,9
25,4;12,855;7,015;12,855;70,15
25,5;12,855;7,04;12,855;70,4
25,6;12,855;7,07;12,855;70,7
25,7;12,855;7,095;12,855;70,95
25,799;12,855;7,125;12,855;71,25
25,899;12,855;7,15;12,855;71,5
26;12,855;7,175;12,855;71,75
26,1;12,855;7,2;12,855;72
26,201;12,855;7,23;12,855;72,3
26,3;12,855;7,255;12,855;72,55
26,4;12,855;7,28;12,855;72,8
26,5;12,855;7,31;12,855;73,1
26,599;12,855;7,335;12,855;73,35
26,7;12,855;7,36;12,855;73,6
26,799;12,855;7,385;12,855;73,85
26,9;12,855;7,415;12,855;74,15
26,999;12,855;7,44;12,855;74,4
27,1;12,855;7,465;12,855;74,65
27,2;12,855;7,495;12,855;74,95
27,3;12,855;7,52;12,855;75,2
27,4;12,855;7,545;12,855;75,45
27,5;12,855;7,575;12,855;75,75
27,6;12,855;7,6;12,855;76
27,701;12,855;7,625;12,855;76,25
27,8;12,855;7,655;12,855;76,55
27,9;12,855;7,68;12,855;76,8
28;12,855;7,705;12,855;77,05
28,101;12,855;7,73;12,855;77,3
28,199;12,855;7,755;12,855;77,55
28,3;12,855;7,785;12,855;77,85
28,399;12,855;7,81;12,855;78,1
28,5;12,855;7,835;12,855;78,35
28,6;12,855;7,86;12,855;78,6
28,7;12,855;7,89;12,855;78,9
28,8;12,855;7,91;12,855;79,1
28,901;12,855;7,91;12,855;79,1
29;12,855;7,91;12,855;79,1
29,099;12,855;7,91;12,855;79,1
29,201;12,855;7,91;12,855;79,1
29,3;12,855;7,91;12,855;79,1
29,4;12,855;7,91;12,855;79,1
29,5;12,855;7,91;12,855;79,1
29,6;12,855;7,91;12,855;79,1
29,7;12,855;7,91;12,855;79,1
29,8;12,855;7,91;12,855;79,1
29,9;12,855;7,91;12,855;79,1
30;12,855;7,91;12,855;79,1
30,1;12,855;7,91;12,855;79,1
30,201;12,855;7,91;12,855;79,1
30,3;12,855;7,91;12,855;79,1
30,4;12,855;7,91;12,855;79,1
30,5;12,855;7,91;12,855;79,1
30,599;12,855;7,91;12,855;79,1
30,699;12,855;7,91;12,855;79,1
30,8;12,855;7,91;12,855;79,1
30,9;12,855;7,91;12,855;79,1
31;12,855;7,91;12,855;79,1
31,1;12,855;7,91;12,855;79,1
31,2;12,855;7,91;12,855;79,1
31,3;12,855;7,91;12,855;79,1
31,4;12,855;7,91;12,855;79,1
31,499;12,855;7,91;12,855;79,1
31,601;12,855;7,91;12,855;79,1
31,7;12,855;7,91;12,855;79,1
31,8;12,855;7,91;12,855;79,1
31,9;12,855;7,91;12,855;79,1
32;12,855;7,91;12,855;79,1
32,099;12,855;7,91;12,855;79,1
32,2;12,855;7,91;12,855;79,1
32,3;12,855;7,91;12,855;79,1
32,399;12,855;7,915;12,855;79,15
32,5;12,855;7,91;12,855;79,1
32,599;12,855;7,91;12,855;79,1
32,7;12,855;7,91;12,855;79,1
32,801;12,855;7,91;12,855;79,1
32,9;12,855;7,91;12,855;79,1
33;12,855;7,91;12,855;79,1
33,101;12,855;7,91;12,855;79,1
33,199;12,855;7,91;12,855;79,1
33,3;12,855;7,91;12,855;79,1
33,4;12,855;7,91;12,855;79,1
33,501;12,855;7,91;12,855;79,1
33,6;12,855;7,91;12,855;79,1
33,699;12,855;7,91;12,855;79,1
33,8;12,855;7,91;12,855;79,1
33,899;12,855;7,915;12,855;79,15
34,001;12,855;7,91;12,855;79,1
34,101;12,855;7,91;12,855;79,1
34,2;12,855;7,91;12,855;79,1
34,3;12,855;7,91;12,855;79,1
34,4;12,855;7,91;12,855;79,1
34,5;12,855;7,91;12,855;79,1
34,6;12,855;7,91;12,855;79,1
34,7;12,855;7,915;12,855;79,15
34,8;12,855;7,91;12,855;79,1
34,901;12,855;7,91;12,855;79,1
34,999;12,855;7,91;12,855;79,1
35,1;12,855;7,91;12,855;79,1
35,199;12,855;7,915;12,855;79,15
35,299;12,855;7,91;12,855;79,1
35,401;12,855;7,91;12,855;79,1
35,499;12,855;7,91;12,855;79,1
35,6;12,855;7,91;12,855;79,1
35,7;12,855;7,91;12,855;79,1
35,801;12,855;7,91;12,855;79,1
35,9;12,855;7,91;12,855;79,1
36;12,855;7,91;12,855;79,1
36,099;12,855;7,915;12,855;79,15
36,2;12,855;7,91;12,855;79,1
36,3;12,855;7,91;12,855;79,1
36,399;12,855;7,91;12,855;79,1
36,5;12,855;7,91;12,855;79,1
36,6;12,855;7,91;12,855;79,1
36,7;12,855;7,91;12,855;79,1
36,8;12,855;7,91;12,855;79,1
36,901;12,855;7,91;12,855;79,1
36,999;12,855;7,91;12,855;79,1
37,099;12,855;7,91;12,855;79,1
37,2;12,855;7,91;12,855;79,1
37,299;12,855;7,91;12,855;79,1
37,4;12,855;7,91;12,855;79,1
37,499;12,855;7,91;12,855;79,1
37,6;12,855;7,91;12,855;79,1
37,7;12,855;7,91;12,855;79,1
37,8;12,855;7,91;12,855;79,1
37,9;12,855;7,91;12,855;79,1
38,001;12,855;7,91;12,855;79,1
38,099;12,855;7,91;12,855;79,1
38,2;12,855;7,91;12,855;79,1
38,3;12,855;7,91;12,855;79,1
38,4;12,855;7,91;12,855;79,1
38,501;12,855;7,91;12,855;79,1
38,601;12,855;7,91;12,855;79,1
38,7;12,855;7,91;12,855;79,1
38,8;12,855;7,91;12,855;79,1
38,899;12,855;7,915;12,855;79,15
39,001;12,855;7,91;12,855;79,1
39,1;12,855;7,91;12,855;79,1
39,199;12,855;7,91;12,855;79,1
39,3;12,855;7,91;12,855;79,1
39,4;12,855;7,91;12,855;79,1
39,499;12,855;7,91;12,855;79,1
39,6;12,855;7,91;12,855;79,1
39,701;12,855;7,91;12,855;79,1
39,8;12,855;7,91;12,855;79,1
39,9;12,855;7,91;12,855;79,1
40;12,855;7,91;12,855;79,1
